[4b228e9f]   split: valid
[4b228e9f]   timestamp: 1692283326.825351
[4b228e9f]   type: entity_ranking
[4b228e9f] Finished evaluating on valid split.
[a85855aa] Saving checkpoint to /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154228-complex_selfloops/00026/checkpoint_00255.pt...
[a85855aa] Removing old checkpoint /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154228-complex_selfloops/00026/checkpoint_00254.pt...
[a85855aa] Saving checkpoint to /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154228-complex_selfloops/00026/checkpoint_best.pt...
[a85855aa] Starting epoch 256...

[a85855aa]   batch   95/4534, avg_loss 3.1791E+00, penalty 8.7325E-02, cost 3.2665E+00, time   0.01s[K
[a85855aa]   batch   96/4534, avg_loss 3.2704E+00, penalty 5.3119E-02, cost 3.3235E+00, time   0.01s[K
[a85855aa]   batch   97/4534, avg_loss 3.3136E+00, penalty 6.4205E-02, cost 3.3778E+00, time   0.01s[K
[a85855aa]   batch   98/4534, avg_loss 3.1953E+00, penalty 8.2391E-02, cost 3.2777E+00, time   0.01s[K
[a85855aa]   batch   99/4534, avg_loss 3.1234E+00, penalty 3.0367E-02, cost 3.1538E+00, time   0.01s[K
[a85855aa]   batch  100/4534, avg_loss 3.2267E+00, penalty 7.9856E-02, cost 3.3065E+00, time   0.01s[K
[a85855aa]   batch  101/4534, avg_loss 3.1614E+00, penalty 6.0486E-02, cost 3.2219E+00, time   0.01s[K
[a85855aa]   batch  102/4534, avg_loss 3.1282E+00, penalty 6.9960E-02, cost 3.1981E+00, time   0.01s[K
[a85855aa]   batch  103/4534, avg_loss 3.1878E+00, penalty 8.2298E-02, cost 3.2701E+00, time   0.01s[K
[a85855aa]   batch  104/4534, avg_loss 3.1168E+00, penalty 4.6269E-02, cost 3.1631E+00, time   0.01s[K
[a85855aa]   batch  105/4534, avg_loss 3.3480E+00, penalty 9.7726E-02, cost 3.4457E+00, time   0.01s[K
[a85855aa]   batch  106/4534, avg_loss 3.2851E+00, penalty 6.3810E-02, cost 3.3490E+00, time   0.01s[K
[a85855aa]   batch  107/4534, avg_loss 3.0774E+00, penalty 6.1930E-02, cost 3.1393E+00, time   0.01s[K
[a85855aa]   batch  108/4534, avg_loss 3.1152E+00, penalty 1.0035E-01, cost 3.2155E+00, time   0.01s[K
[a85855aa]   batch  109/4534, avg_loss 3.0037E+00, penalty 4.5734E-02, cost 3.0494E+00, time   0.01s[K
[a85855aa]   batch  110/4534, avg_loss 3.4018E+00, penalty 9.3024E-02, cost 3.4948E+00, time   0.01s[K
[a85855aa]   batch  111/4534, avg_loss 3.1452E+00, penalty 5.4040E-02, cost 3.1993E+00, time   0.01s[K
[a85855aa]   batch  112/4534, avg_loss 3.0935E+00, penalty 8.4257E-02, cost 3.1777E+00, time   0.01s[K
[a85855aa]   batch  113/4534, avg_loss 3.1716E+00, penalty 3.9747E-02, cost 3.2114E+00, time   0.01s[K
[a85855aa]   batch  114/4534, avg_loss 3.0885E+00, penalty 8.4256E-02, cost 3.1727E+00, time   0.01s[K
[a85855aa]   batch  115/4534, avg_loss 3.1471E+00, penalty 7.8074E-02, cost 3.2252E+00, time   0.01s[K
[a85855aa]   batch  116/4534, avg_loss 3.1832E+00, penalty 8.8573E-02, cost 3.2718E+00, time   0.01s[K
[a85855aa]   batch  117/4534, avg_loss 3.4099E+00, penalty 7.7202E-02, cost 3.4871E+00, time   0.01s[K
[a85855aa]   batch  118/4534, avg_loss 3.1956E+00, penalty 5.5588E-02, cost 3.2512E+00, time   0.01s[K
[a85855aa]   batch  119/4534, avg_loss 2.9627E+00, penalty 5.2782E-02, cost 3.0155E+00, time   0.01s[K
[a85855aa]   batch  120/4534, avg_loss 3.4144E+00, penalty 1.2123E-01, cost 3.5357E+00, time   0.01s[K
[a85855aa]   batch  121/4534, avg_loss 3.1242E+00, penalty 7.5694E-02, cost 3.1999E+00, time   0.01s[K
[a85855aa]   batch  122/4534, avg_loss 3.1114E+00, penalty 3.9367E-02, cost 3.1508E+00, time   0.01s[K
[a85855aa]   batch  123/4534, avg_loss 3.2054E+00, penalty 6.8802E-02, cost 3.2742E+00, time   0.01s[K
[a85855aa]   batch  124/4534, avg_loss 3.1956E+00, penalty 9.5113E-02, cost 3.2907E+00, time   0.01s[K
[a85855aa]   batch  125/4534, avg_loss 3.1281E+00, penalty 4.4672E-02, cost 3.1728E+00, time   0.01s[K
[a85855aa]   batch  126/4534, avg_loss 3.1873E+00, penalty 6.5813E-02, cost 3.2531E+00, time   0.01s[K
[a85855aa]   batch  127/4534, avg_loss 3.2043E+00, penalty 7.5568E-02, cost 3.2799E+00, time   0.01s[K
[a85855aa]   batch  128/4534, avg_loss 3.2276E+00, penalty 1.1882E-01, cost 3.3464E+00, time   0.01s[K
[a85855aa]   batch  129/4534, avg_loss 3.1204E+00, penalty 9.4089E-02, cost 3.2145E+00, time   0.01s[K
[a85855aa]   batch  130/4534, avg_loss 3.1046E+00, penalty 4.6524E-02, cost 3.1511E+00, time   0.01s[K
[a85855aa]   batch  131/4534, avg_loss 3.0790E+00, penalty 9.7492E-02, cost 3.1765E+00, time   0.01s[K
[a85855aa]   batch  132/4534, avg_loss 3.3461E+00, penalty 7.6444E-02, cost 3.4226E+00, time   0.01s[K
[a85855aa]   batch  133/4534, avg_loss 3.2821E+00, penalty 8.5287E-02, cost 3.3673E+00, time   0.01s[K
[a85855aa]   batch  134/4534, avg_loss 3.0999E+00, penalty 5.7674E-02, cost 3.1575E+00, time   0.01s[K
[a85855aa]   batch  135/4534, avg_loss 3.0418E+00, penalty 5.8895E-02, cost 3.1007E+00, time   0.01s[K
[a85855aa]   batch  136/4534, avg_loss 3.6006E+00, penalty 1.0777E-01, cost 3.7084E+00, time   0.01s[K
[a85855aa]   batch  137/4534, avg_loss 3.1555E+00, penalty 9.1929E-02, cost 3.2474E+00, time   0.01s[K
[a85855aa]   batch  138/4534, avg_loss 3.1447E+00, penalty 9.0296E-02, cost 3.2350E+00, time   0.01s[K
[a85855aa]   batch  139/4534, avg_loss 3.0784E+00, penalty 3.3684E-02, cost 3.1121E+00, time   0.01s[K
[a85855aa]   batch  140/4534, avg_loss 3.1894E+00, penalty 1.1481E-01, cost 3.3042E+00, time   0.01s[K
[a85855aa]   batch  141/4534, avg_loss 3.1585E+00, penalty 6.1349E-02, cost 3.2198E+00, time   0.01s[K
[a85855aa]   batch  142/4534, avg_loss 3.0876E+00, penalty 8.5859E-02, cost 3.1735E+00, time   0.01s[K
[a85855aa]   batch  143/4534, avg_loss 3.2009E+00, penalty 5.3892E-02, cost 3.2548E+00, time   0.01s[K
[a85855aa]   batch  144/4534, avg_loss 3.0522E+00, penalty 7.7708E-02, cost 3.1299E+00, time   0.01s[K
[a85855aa]   batch  145/4534, avg_loss 3.3596E+00, penalty 8.1231E-02, cost 3.4408E+00, time   0.01s[K
[a85855aa]   batch  146/4534, avg_loss 3.1930E+00, penalty 1.1228E-01, cost 3.3053E+00, time   0.01s[K
[a85855aa]   batch  147/4534, avg_loss 2.9657E+00, penalty 7.6499E-02, cost 3.0422E+00, time   0.01s[K
[a85855aa]   batch  148/4534, avg_loss 3.1083E+00, penalty 6.5960E-02, cost 3.1742E+00, time   0.01s[K
[a85855aa]   batch  149/4534, avg_loss 3.0755E+00, penalty 6.2983E-02, cost 3.1385E+00, time   0.01s[K
[a85855aa]   batch  150/4534, avg_loss 3.2346E+00, penalty 1.0478E-01, cost 3.3394E+00, time   0.01s[K
[a85855aa]   batch  151/4534, avg_loss 3.0644E+00, penalty 8.1554E-02, cost 3.1460E+00, time   0.01s[K
[a85855aa]   batch  152/4534, avg_loss 3.0605E+00, penalty 2.7498E-02, cost 3.0880E+00, time   0.01s[K
[a85855aa]   batch  153/4534, avg_loss 2.9486E+00, penalty 6.7642E-02, cost 3.0162E+00, time   0.01s[K
[a85855aa]   batch  154/4534, avg_loss 3.1163E+00, penalty 8.3917E-02, cost 3.2003E+00, time   0.01s[K
