[5b691437]   size: 5175638
[5b691437]   split: train
[5b691437]   timestamp: 1693685678.7132297
[5b691437]   type: negative_sampling
[5b691437] Finished epoch 21.
[5b691437] Saving checkpoint to kge/local/experiments/20230810-154246-relational_tucker3_selfloops/00058/checkpoint_00021.pt...
[5b691437] Removing old checkpoint kge/local/experiments/20230810-154246-relational_tucker3_selfloops/00058/checkpoint_00005.pt...
[5b691437] Starting epoch 22...

[5b691437]   batch    81/40434, avg_loss 2.7722E+02, penalty 1.3649E+02, cost 4.1371E+02, time   0.07s[K
[5b691437]   batch    82/40434, avg_loss 2.3083E+02, penalty 1.3649E+02, cost 3.6732E+02, time   0.07s[K
[5b691437]   batch    83/40434, avg_loss 3.9697E+02, penalty 1.3649E+02, cost 5.3346E+02, time   0.07s[K
[5b691437]   batch    84/40434, avg_loss 3.4500E+02, penalty 1.3649E+02, cost 4.8148E+02, time   0.07s[K
[5b691437]   batch    85/40434, avg_loss 3.2315E+02, penalty 1.3649E+02, cost 4.5964E+02, time   0.07s[K
[5b691437]   batch    86/40434, avg_loss 4.2024E+02, penalty 1.3649E+02, cost 5.5673E+02, time   0.07s[K
[5b691437]   batch    87/40434, avg_loss 2.5522E+02, penalty 1.3649E+02, cost 3.9170E+02, time   0.07s[K
[5b691437]   batch    88/40434, avg_loss 2.2033E+02, penalty 1.3649E+02, cost 3.5682E+02, time   0.07s[K
[5b691437]   batch    89/40434, avg_loss 2.5625E+02, penalty 1.3649E+02, cost 3.9274E+02, time   0.07s[K
[5b691437]   batch    90/40434, avg_loss 3.4919E+02, penalty 1.3649E+02, cost 4.8568E+02, time   0.07s[K
[5b691437]   batch    91/40434, avg_loss 2.9643E+02, penalty 1.3649E+02, cost 4.3291E+02, time   0.07s[K
[5b691437]   batch    92/40434, avg_loss 4.3684E+02, penalty 1.3649E+02, cost 5.7333E+02, time   0.07s[K
[5b691437]   batch    93/40434, avg_loss 2.7134E+02, penalty 1.3649E+02, cost 4.0783E+02, time   0.07s[K
[5b691437]   batch    94/40434, avg_loss 3.0957E+02, penalty 1.3649E+02, cost 4.4605E+02, time   0.07s[K
[5b691437]   batch    95/40434, avg_loss 2.9689E+02, penalty 1.3649E+02, cost 4.3338E+02, time   0.07s[K
[5b691437]   batch    96/40434, avg_loss 5.2529E+02, penalty 1.3649E+02, cost 6.6178E+02, time   0.07s[K
[5b691437]   batch    97/40434, avg_loss 3.6511E+02, penalty 1.3649E+02, cost 5.0160E+02, time   0.07s[K
[5b691437]   batch    98/40434, avg_loss 4.7510E+02, penalty 1.3649E+02, cost 6.1159E+02, time   0.07s[K
[5b691437]   batch    99/40434, avg_loss 3.1158E+02, penalty 1.3649E+02, cost 4.4807E+02, time   0.07s[K
[5b691437]   batch   100/40434, avg_loss 4.6090E+02, penalty 1.3649E+02, cost 5.9739E+02, time   0.07s[K
[5b691437]   batch   101/40434, avg_loss 4.5942E+02, penalty 1.3649E+02, cost 5.9590E+02, time   0.07s[K
[5b691437]   batch   102/40434, avg_loss 2.9115E+02, penalty 1.3649E+02, cost 4.2764E+02, time   0.07s[K
[5b691437]   batch   103/40434, avg_loss 4.9982E+02, penalty 1.3649E+02, cost 6.3630E+02, time   0.07s[K
[5b691437]   batch   104/40434, avg_loss 2.3387E+02, penalty 1.3649E+02, cost 3.7036E+02, time   0.07s[K
[5b691437]   batch   105/40434, avg_loss 3.7925E+02, penalty 1.3649E+02, cost 5.1574E+02, time   0.07s[K
[5b691437]   batch   106/40434, avg_loss 3.1135E+02, penalty 1.3649E+02, cost 4.4783E+02, time   0.07s[K
[5b691437]   batch   107/40434, avg_loss 4.0480E+02, penalty 1.3649E+02, cost 5.4129E+02, time   0.07s[K
[5b691437]   batch   108/40434, avg_loss 3.3694E+02, penalty 1.3649E+02, cost 4.7343E+02, time   0.07s[K
