[ce3179e0]   size: 5175638
[ce3179e0]   split: train
[ce3179e0]   timestamp: 1694252356.9043162
[ce3179e0]   type: negative_sampling
[ce3179e0] Finished epoch 39.
[ce3179e0] Saving checkpoint to kge/local/experiments/20230811-091358-relational_tucker3_non-naive/00058/checkpoint_00039.pt...
[ce3179e0] Removing old checkpoint kge/local/experiments/20230811-091358-relational_tucker3_non-naive/00058/checkpoint_00038.pt...
[ce3179e0] Starting epoch 40...

[ce3179e0]   batch   116/40434, avg_loss 6.1994E+02, penalty 2.4040E-03, cost 6.1994E+02, time   0.07s[K
[ce3179e0]   batch   117/40434, avg_loss 6.9935E+02, penalty 2.4040E-03, cost 6.9935E+02, time   0.07s[K
[ce3179e0]   batch   118/40434, avg_loss 1.3633E+03, penalty 2.4040E-03, cost 1.3633E+03, time   0.07s[K
[ce3179e0]   batch   119/40434, avg_loss 7.0979E+02, penalty 2.4040E-03, cost 7.0979E+02, time   0.07s[K
[ce3179e0]   batch   120/40434, avg_loss 1.3542E+03, penalty 2.4040E-03, cost 1.3542E+03, time   0.07s[K
[ce3179e0]   batch   121/40434, avg_loss 6.3869E+02, penalty 2.4040E-03, cost 6.3869E+02, time   0.07s[K
[ce3179e0]   batch   122/40434, avg_loss 1.0140E+03, penalty 2.4040E-03, cost 1.0140E+03, time   0.07s[K
[ce3179e0]   batch   123/40434, avg_loss 1.6915E+03, penalty 2.4040E-03, cost 1.6915E+03, time   0.07s[K
[ce3179e0]   batch   124/40434, avg_loss 1.5325E+03, penalty 2.4040E-03, cost 1.5325E+03, time   0.07s[K
[ce3179e0]   batch   125/40434, avg_loss 1.0418E+03, penalty 2.4040E-03, cost 1.0418E+03, time   0.07s[K
[ce3179e0]   batch   126/40434, avg_loss 1.3284E+03, penalty 2.4040E-03, cost 1.3284E+03, time   0.07s[K
[ce3179e0]   batch   127/40434, avg_loss 7.0690E+02, penalty 2.4040E-03, cost 7.0690E+02, time   0.07s[K
[ce3179e0]   batch   128/40434, avg_loss 1.2496E+03, penalty 2.4040E-03, cost 1.2496E+03, time   0.07s[K
[ce3179e0]   batch   129/40434, avg_loss 9.6629E+02, penalty 2.4040E-03, cost 9.6630E+02, time   0.07s[K
[ce3179e0]   batch   130/40434, avg_loss 1.1456E+03, penalty 2.4040E-03, cost 1.1456E+03, time   0.07s[K
[ce3179e0]   batch   131/40434, avg_loss 1.0380E+03, penalty 2.4040E-03, cost 1.0380E+03, time   0.07s[K
[ce3179e0]   batch   132/40434, avg_loss 1.0864E+03, penalty 2.4040E-03, cost 1.0864E+03, time   0.07s[K
[ce3179e0]   batch   133/40434, avg_loss 1.0014E+03, penalty 2.4040E-03, cost 1.0015E+03, time   0.07s[K
[ce3179e0]   batch   134/40434, avg_loss 1.4697E+03, penalty 2.4040E-03, cost 1.4697E+03, time   0.07s[K
[ce3179e0]   batch   135/40434, avg_loss 6.0619E+02, penalty 2.4040E-03, cost 6.0619E+02, time   0.07s[K
[ce3179e0]   batch   136/40434, avg_loss 8.8629E+02, penalty 2.4040E-03, cost 8.8630E+02, time   0.07s[K
[ce3179e0]   batch   137/40434, avg_loss 1.3944E+03, penalty 2.4040E-03, cost 1.3944E+03, time   0.07s[K
[ce3179e0]   batch   138/40434, avg_loss 8.8792E+02, penalty 2.4040E-03, cost 8.8792E+02, time   0.07s[K
[ce3179e0]   batch   139/40434, avg_loss 9.9499E+02, penalty 2.4040E-03, cost 9.9500E+02, time   0.07s[K
[ce3179e0]   batch   140/40434, avg_loss 9.0188E+02, penalty 2.4040E-03, cost 9.0188E+02, time   0.07s[K
[ce3179e0]   batch   141/40434, avg_loss 9.4778E+02, penalty 2.4040E-03, cost 9.4778E+02, time   0.07s[K
[ce3179e0]   batch   142/40434, avg_loss 7.9474E+02, penalty 2.4040E-03, cost 7.9474E+02, time   0.07s[K
[ce3179e0]   batch   143/40434, avg_loss 1.0015E+03, penalty 2.4040E-03, cost 1.0015E+03, time   0.07s[K
[ce3179e0]   batch   144/40434, avg_loss 7.3400E+02, penalty 2.4040E-03, cost 7.3400E+02, time   0.07s[K
[ce3179e0]   batch   145/40434, avg_loss 1.2970E+03, penalty 2.4040E-03, cost 1.2970E+03, time   0.07s[K
[ce3179e0]   batch   146/40434, avg_loss 9.5021E+02, penalty 2.4040E-03, cost 9.5021E+02, time   0.07s[K
[ce3179e0]   batch   147/40434, avg_loss 1.3246E+03, penalty 2.4040E-03, cost 1.3246E+03, time   0.07s[K
[ce3179e0]   batch   148/40434, avg_loss 1.5338E+03, penalty 2.4040E-03, cost 1.5338E+03, time   0.07s[K
[ce3179e0]   batch   149/40434, avg_loss 5.8766E+02, penalty 2.4040E-03, cost 5.8766E+02, time   0.07s[K
[ce3179e0]   batch   150/40434, avg_loss 9.6985E+02, penalty 2.4040E-03, cost 9.6985E+02, time   0.07s[K
[ce3179e0]   batch   151/40434, avg_loss 7.6592E+02, penalty 2.4040E-03, cost 7.6592E+02, time   0.07s[K
[ce3179e0]   batch   152/40434, avg_loss 1.1225E+03, penalty 2.4040E-03, cost 1.1225E+03, time   0.07s[K
[ce3179e0]   batch   153/40434, avg_loss 3.9049E+02, penalty 2.4040E-03, cost 3.9049E+02, time   0.07s[K
[ce3179e0]   batch   154/40434, avg_loss 5.4971E+02, penalty 2.4040E-03, cost 5.4971E+02, time   0.07s[K
[ce3179e0]   batch   155/40434, avg_loss 9.8827E+02, penalty 2.4040E-03, cost 9.8827E+02, time   0.07s[K
[ce3179e0]   batch   156/40434, avg_loss 1.2212E+03, penalty 2.4040E-03, cost 1.2212E+03, time   0.07s[K
[ce3179e0]   batch   157/40434, avg_loss 9.6199E+02, penalty 2.4040E-03, cost 9.6199E+02, time   0.07s[K
[ce3179e0]   batch   158/40434, avg_loss 1.1493E+03, penalty 2.4040E-03, cost 1.1494E+03, time   0.07s[K
[ce3179e0]   batch   159/40434, avg_loss 1.2712E+03, penalty 2.4040E-03, cost 1.2712E+03, time   0.07s[K
[ce3179e0]   batch   160/40434, avg_loss 1.0724E+03, penalty 2.4040E-03, cost 1.0724E+03, time   0.07s[K
