[52d34630]   size: 5175638
[52d34630]   split: train
[52d34630]   timestamp: 1692578274.4507034
[52d34630]   type: 1vsAll
[52d34630] Finished epoch 123.
[52d34630] Saving checkpoint to /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154100-complex_non-naive/00058/checkpoint_00123.pt...
[52d34630] Removing old checkpoint /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154100-complex_non-naive/00058/checkpoint_00122.pt...
[52d34630] Starting epoch 124...

[52d34630]   batch   100/40434, avg_loss 1.2532E+01, penalty 1.4356E-12, cost 1.2532E+01, time   0.01s[K
[52d34630]   batch   101/40434, avg_loss 1.3009E+01, penalty 1.5948E-12, cost 1.3009E+01, time   0.01s[K
[52d34630]   batch   102/40434, avg_loss 1.2255E+01, penalty 1.1511E-12, cost 1.2255E+01, time   0.01s[K
[52d34630]   batch   103/40434, avg_loss 1.2702E+01, penalty 1.4991E-12, cost 1.2702E+01, time   0.01s[K
[52d34630]   batch   104/40434, avg_loss 1.2634E+01, penalty 1.2452E-12, cost 1.2634E+01, time   0.01s[K
[52d34630]   batch   105/40434, avg_loss 1.1947E+01, penalty 1.2125E-12, cost 1.1947E+01, time   0.01s[K
[52d34630]   batch   106/40434, avg_loss 1.2334E+01, penalty 1.2151E-12, cost 1.2334E+01, time   0.01s[K
[52d34630]   batch   107/40434, avg_loss 1.1981E+01, penalty 1.1506E-12, cost 1.1981E+01, time   0.01s[K
[52d34630]   batch   108/40434, avg_loss 1.2551E+01, penalty 1.3735E-12, cost 1.2551E+01, time   0.01s[K
[52d34630]   batch   109/40434, avg_loss 1.2234E+01, penalty 1.0891E-12, cost 1.2234E+01, time   0.01s[K
[52d34630]   batch   110/40434, avg_loss 1.2191E+01, penalty 1.1513E-12, cost 1.2191E+01, time   0.01s[K
[52d34630]   batch   111/40434, avg_loss 1.2353E+01, penalty 1.2123E-12, cost 1.2353E+01, time   0.01s[K
[52d34630]   batch   112/40434, avg_loss 1.2296E+01, penalty 1.1816E-12, cost 1.2296E+01, time   0.01s[K
[52d34630]   batch   113/40434, avg_loss 1.2476E+01, penalty 1.3083E-12, cost 1.2476E+01, time   0.01s[K
[52d34630]   batch   114/40434, avg_loss 1.2365E+01, penalty 1.3415E-12, cost 1.2365E+01, time   0.01s[K
[52d34630]   batch   115/40434, avg_loss 1.2688E+01, penalty 1.3417E-12, cost 1.2688E+01, time   0.01s[K
[52d34630]   batch   116/40434, avg_loss 1.2509E+01, penalty 1.1805E-12, cost 1.2509E+01, time   0.01s[K
[52d34630]   batch   117/40434, avg_loss 2.4259E+01, penalty 8.3262E-13, cost 2.4259E+01, time   0.01s[K
[52d34630]   batch   118/40434, avg_loss 1.1980E+01, penalty 1.0565E-12, cost 1.1980E+01, time   0.01s[K
[52d34630]   batch   119/40434, avg_loss 1.1756E+01, penalty 1.0867E-12, cost 1.1756E+01, time   0.01s[K
[52d34630]   batch   120/40434, avg_loss 1.1884E+01, penalty 8.9573E-13, cost 1.1884E+01, time   0.01s[K
[52d34630]   batch   121/40434, avg_loss 1.3346E+01, penalty 1.4042E-12, cost 1.3346E+01, time   0.01s[K
[52d34630]   batch   122/40434, avg_loss 1.2806E+01, penalty 1.4682E-12, cost 1.2806E+01, time   0.01s[K
[52d34630]   batch   123/40434, avg_loss 1.3497E+01, penalty 1.5633E-12, cost 1.3497E+01, time   0.01s[K
