[0fa6a4e3]   size: 215652
[0fa6a4e3]   split: valid
[0fa6a4e3]   timestamp: 1693212627.2210078
[0fa6a4e3]   type: entity_ranking
[0fa6a4e3] Finished evaluating on valid split.
[792063f5] Saving checkpoint to kge/local/experiments/20230810-154100-complex_non-naive/00075/checkpoint_00235.pt...
[792063f5] Removing old checkpoint kge/local/experiments/20230810-154100-complex_non-naive/00075/checkpoint_00234.pt...
[792063f5] Saving checkpoint to kge/local/experiments/20230810-154100-complex_non-naive/00075/checkpoint_best.pt...
[792063f5] Starting epoch 236...

[792063f5]   batch    79/40434, avg_loss 1.5989E+01, penalty 1.7674E-07, cost 1.5989E+01, time   0.01s[K
[792063f5]   batch    80/40434, avg_loss 1.6171E+01, penalty 1.7720E-07, cost 1.6171E+01, time   0.01s[K
[792063f5]   batch    81/40434, avg_loss 1.5879E+01, penalty 1.5839E-07, cost 1.5879E+01, time   0.01s[K
[792063f5]   batch    82/40434, avg_loss 1.5978E+01, penalty 1.6208E-07, cost 1.5978E+01, time   0.01s[K
[792063f5]   batch    83/40434, avg_loss 1.5841E+01, penalty 1.5755E-07, cost 1.5841E+01, time   0.01s[K
[792063f5]   batch    84/40434, avg_loss 1.5504E+01, penalty 1.3552E-07, cost 1.5504E+01, time   0.01s[K
[792063f5]   batch    85/40434, avg_loss 1.5926E+01, penalty 1.7696E-07, cost 1.5926E+01, time   0.01s[K
[792063f5]   batch    86/40434, avg_loss 1.6026E+01, penalty 1.6577E-07, cost 1.6026E+01, time   0.01s[K
[792063f5]   batch    87/40434, avg_loss 1.6490E+01, penalty 1.7701E-07, cost 1.6490E+01, time   0.01s[K
[792063f5]   batch    88/40434, avg_loss 1.5690E+01, penalty 1.3539E-07, cost 1.5690E+01, time   0.01s[K
[792063f5]   batch    89/40434, avg_loss 1.6392E+01, penalty 1.9193E-07, cost 1.6392E+01, time   0.01s[K
[792063f5]   batch    90/40434, avg_loss 1.5843E+01, penalty 1.4275E-07, cost 1.5843E+01, time   0.01s[K
[792063f5]   batch    91/40434, avg_loss 1.5782E+01, penalty 1.5393E-07, cost 1.5782E+01, time   0.01s[K
[792063f5]   batch    92/40434, avg_loss 1.6109E+01, penalty 1.5842E-07, cost 1.6109E+01, time   0.01s[K
[792063f5]   batch    93/40434, avg_loss 1.5708E+01, penalty 1.5035E-07, cost 1.5708E+01, time   0.01s[K
[792063f5]   batch    94/40434, avg_loss 1.6117E+01, penalty 1.7274E-07, cost 1.6117E+01, time   0.01s[K
[792063f5]   batch    95/40434, avg_loss 1.6398E+01, penalty 1.6534E-07, cost 1.6398E+01, time   0.01s[K
[792063f5]   batch    96/40434, avg_loss 1.5490E+01, penalty 1.3527E-07, cost 1.5490E+01, time   0.01s[K
[792063f5]   batch    97/40434, avg_loss 1.5458E+01, penalty 1.2456E-07, cost 1.5458E+01, time   0.01s[K
[792063f5]   batch    98/40434, avg_loss 1.6109E+01, penalty 1.9554E-07, cost 1.6109E+01, time   0.01s[K
[792063f5]   batch    99/40434, avg_loss 1.5686E+01, penalty 1.5030E-07, cost 1.5686E+01, time   0.01s[K
[792063f5]   batch   100/40434, avg_loss 1.6309E+01, penalty 1.6968E-07, cost 1.6309E+01, time   0.01s[K
[792063f5]   batch   101/40434, avg_loss 1.5062E+01, penalty 1.2418E-07, cost 1.5062E+01, time   0.01s[K
[792063f5]   batch   102/40434, avg_loss 1.5554E+01, penalty 1.4270E-07, cost 1.5554E+01, time   0.01s[K
[792063f5]   batch   103/40434, avg_loss 1.5932E+01, penalty 1.3932E-07, cost 1.5932E+01, time   0.01s[K
[792063f5]   batch   104/40434, avg_loss 1.5678E+01, penalty 1.5821E-07, cost 1.5678E+01, time   0.01s[K
[792063f5]   batch   105/40434, avg_loss 1.5474E+01, penalty 1.4662E-07, cost 1.5474E+01, time   0.01s[K
[792063f5]   batch   106/40434, avg_loss 1.5229E+01, penalty 1.3539E-07, cost 1.5229E+01, time   0.01s[K
[792063f5]   batch   107/40434, avg_loss 1.6362E+01, penalty 1.5764E-07, cost 1.6362E+01, time   0.01s[K
[792063f5]   batch   108/40434, avg_loss 1.5767E+01, penalty 1.5781E-07, cost 1.5767E+01, time   0.01s[K
[792063f5]   batch   109/40434, avg_loss 1.5320E+01, penalty 1.3545E-07, cost 1.5320E+01, time   0.01s[K
[792063f5]   batch   110/40434, avg_loss 1.6139E+01, penalty 1.4706E-07, cost 1.6139E+01, time   0.01s[K
[792063f5]   batch   111/40434, avg_loss 1.5537E+01, penalty 1.4282E-07, cost 1.5537E+01, time   0.01s[K
[792063f5]   batch   112/40434, avg_loss 1.5799E+01, penalty 1.5078E-07, cost 1.5799E+01, time   0.01s[K
[792063f5]   batch   113/40434, avg_loss 1.5613E+01, penalty 1.2804E-07, cost 1.5613E+01, time   0.01s[K
[792063f5]   batch   114/40434, avg_loss 1.5752E+01, penalty 1.5790E-07, cost 1.5752E+01, time   0.01s[K
[792063f5]   batch   115/40434, avg_loss 1.6265E+01, penalty 1.8078E-07, cost 1.6265E+01, time   0.01s[K
[792063f5]   batch   116/40434, avg_loss 1.5984E+01, penalty 1.8419E-07, cost 1.5984E+01, time   0.01s[K
[792063f5]   batch   117/40434, avg_loss 1.5554E+01, penalty 1.5046E-07, cost 1.5554E+01, time   0.01s[K
