[98972361]   size: 5175638
[98972361]   split: train
[98972361]   timestamp: 1693212599.0646005
[98972361]   type: 1vsAll
[98972361] Finished epoch 8.
[98972361] Saving checkpoint to kge/local/experiments/20230810-154100-simple_non-naive/00067/checkpoint_00008.pt...
[98972361] Removing old checkpoint kge/local/experiments/20230810-154100-simple_non-naive/00067/checkpoint_00007.pt...
[98972361] Starting epoch 9...

[98972361]   batch    84/40434, avg_loss 1.5912E+01, penalty 6.3905E-08, cost 1.5912E+01, time   0.01s[K
[98972361]   batch    85/40434, avg_loss 1.5675E+01, penalty 5.7749E-08, cost 1.5675E+01, time   0.01s[K
[98972361]   batch    86/40434, avg_loss 1.5920E+01, penalty 6.5157E-08, cost 1.5920E+01, time   0.01s[K
[98972361]   batch    87/40434, avg_loss 1.6364E+01, penalty 7.0864E-08, cost 1.6364E+01, time   0.01s[K
[98972361]   batch    88/40434, avg_loss 1.6178E+01, penalty 7.4739E-08, cost 1.6178E+01, time   0.01s[K
[98972361]   batch    89/40434, avg_loss 1.6096E+01, penalty 6.8501E-08, cost 1.6096E+01, time   0.01s[K
[98972361]   batch    90/40434, avg_loss 1.6669E+01, penalty 7.1981E-08, cost 1.6669E+01, time   0.01s[K
[98972361]   batch    91/40434, avg_loss 1.5583E+01, penalty 6.7238E-08, cost 1.5583E+01, time   0.01s[K
[98972361]   batch    92/40434, avg_loss 1.5758E+01, penalty 6.5831E-08, cost 1.5758E+01, time   0.01s[K
[98972361]   batch    93/40434, avg_loss 1.6132E+01, penalty 6.5549E-08, cost 1.6132E+01, time   0.01s[K
[98972361]   batch    94/40434, avg_loss 1.5923E+01, penalty 7.2130E-08, cost 1.5923E+01, time   0.01s[K
[98972361]   batch    95/40434, avg_loss 1.5958E+01, penalty 6.7633E-08, cost 1.5958E+01, time   0.01s[K
[98972361]   batch    96/40434, avg_loss 1.6165E+01, penalty 6.9974E-08, cost 1.6165E+01, time   0.01s[K
[98972361]   batch    97/40434, avg_loss 1.6276E+01, penalty 7.3032E-08, cost 1.6276E+01, time   0.01s[K
[98972361]   batch    98/40434, avg_loss 1.5850E+01, penalty 6.4114E-08, cost 1.5850E+01, time   0.01s[K
[98972361]   batch    99/40434, avg_loss 1.6164E+01, penalty 7.1639E-08, cost 1.6164E+01, time   0.01s[K
[98972361]   batch   100/40434, avg_loss 1.6137E+01, penalty 7.3472E-08, cost 1.6137E+01, time   0.01s[K
[98972361]   batch   101/40434, avg_loss 1.6253E+01, penalty 6.8417E-08, cost 1.6253E+01, time   0.01s[K
[98972361]   batch   102/40434, avg_loss 1.6228E+01, penalty 7.2808E-08, cost 1.6228E+01, time   0.01s[K
[98972361]   batch   103/40434, avg_loss 1.6134E+01, penalty 7.5262E-08, cost 1.6134E+01, time   0.01s[K
[98972361]   batch   104/40434, avg_loss 1.6015E+01, penalty 6.5338E-08, cost 1.6015E+01, time   0.01s[K
[98972361]   batch   105/40434, avg_loss 1.6176E+01, penalty 6.6411E-08, cost 1.6176E+01, time   0.01s[K
[98972361]   batch   106/40434, avg_loss 1.5809E+01, penalty 6.3730E-08, cost 1.5809E+01, time   0.01s[K
[98972361]   batch   107/40434, avg_loss 1.5255E+01, penalty 6.3279E-08, cost 1.5255E+01, time   0.01s[K
[98972361]   batch   108/40434, avg_loss 1.5822E+01, penalty 6.7482E-08, cost 1.5822E+01, time   0.01s[K
[98972361]   batch   109/40434, avg_loss 1.6327E+01, penalty 7.2813E-08, cost 1.6327E+01, time   0.01s[K
[98972361]   batch   110/40434, avg_loss 1.6137E+01, penalty 6.9074E-08, cost 1.6137E+01, time   0.01s[K
[98972361]   batch   111/40434, avg_loss 1.5720E+01, penalty 6.4005E-08, cost 1.5720E+01, time   0.01s[K
[98972361]   batch   112/40434, avg_loss 1.6606E+01, penalty 7.0596E-08, cost 1.6606E+01, time   0.01s[K
[98972361]   batch   113/40434, avg_loss 1.6323E+01, penalty 6.9383E-08, cost 1.6323E+01, time   0.01s[K
[98972361]   batch   114/40434, avg_loss 1.5688E+01, penalty 6.7867E-08, cost 1.5688E+01, time   0.01s[K
[98972361]   batch   115/40434, avg_loss 1.6076E+01, penalty 7.1687E-08, cost 1.6076E+01, time   0.01s[K
[98972361]   batch   116/40434, avg_loss 1.5891E+01, penalty 6.9579E-08, cost 1.5891E+01, time   0.01s[K
[98972361]   batch   117/40434, avg_loss 1.6130E+01, penalty 6.7397E-08, cost 1.6130E+01, time   0.01s[K
[98972361]   batch   118/40434, avg_loss 1.6142E+01, penalty 6.9998E-08, cost 1.6142E+01, time   0.01s[K
[98972361]   batch   119/40434, avg_loss 1.6050E+01, penalty 6.6718E-08, cost 1.6050E+01, time   0.01s[K
[98972361]   batch   120/40434, avg_loss 1.6598E+01, penalty 6.9690E-08, cost 1.6598E+01, time   0.01s[K
[98972361]   batch   121/40434, avg_loss 1.5801E+01, penalty 6.7181E-08, cost 1.5801E+01, time   0.01s[K
[98972361]   batch   122/40434, avg_loss 1.6311E+01, penalty 7.7864E-08, cost 1.6311E+01, time   0.01s[K
[98972361]   batch   123/40434, avg_loss 1.5633E+01, penalty 6.8989E-08, cost 1.5633E+01, time   0.01s[K
[98972361]   batch   124/40434, avg_loss 1.6372E+01, penalty 7.2956E-08, cost 1.6372E+01, time   0.01s[K
[98972361]   batch   125/40434, avg_loss 1.5880E+01, penalty 6.3137E-08, cost 1.5880E+01, time   0.01s[K
[98972361]   batch   126/40434, avg_loss 1.5634E+01, penalty 6.4875E-08, cost 1.5634E+01, time   0.01s[K
[98972361]   batch   127/40434, avg_loss 1.5497E+01, penalty 5.8994E-08, cost 1.5497E+01, time   0.01s[K
[98972361]   batch   128/40434, avg_loss 1.5877E+01, penalty 6.4652E-08, cost 1.5877E+01, time   0.01s[K
[98972361]   batch   129/40434, avg_loss 1.6490E+01, penalty 7.3402E-08, cost 1.6490E+01, time   0.01s[K
[98972361]   batch   130/40434, avg_loss 1.5456E+01, penalty 6.3725E-08, cost 1.5456E+01, time   0.01s[K
[98972361]   batch   131/40434, avg_loss 1.6486E+01, penalty 7.2197E-08, cost 1.6486E+01, time   0.01s[K
[98972361]   batch   132/40434, avg_loss 1.5732E+01, penalty 6.2813E-08, cost 1.5732E+01, time   0.01s[K
[98972361]   batch   133/40434, avg_loss 1.5988E+01, penalty 7.1712E-08, cost 1.5988E+01, time   0.01s[K
