job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.type,train.optimizer,train.loss,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,distmult.entity_embedder.regularize_weight,distmult.relation_embedder.regularize_weight,distmult.entity_embedder.dropout,distmult.relation_embedder.dropout
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0081090395958718,25,c3ac6f5f,256,negative_sampling,Adadelta,se,0.02892692511808931,10,32,lp,False,5.579783303890364e-13,6.971416889437347e-20,0.051952611189335585,0.19756896421313286
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0508888130908,26,0a7c8ea3,128,KvsAll,RMSprop,bce,0.00032134722096887675,6,128,lp,True,0.012927683509495155,9.357643990157025e-06,0.2984786140732467,0.2921669874340296
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0081149225813003,27,9f94b267,128,1vsAll,Adamax,se,0.0012750461664525954,4,512,lp,False,0.00031381881436845006,0.001181519724660293,0.08869400573894382,0.3950841440819204
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0292460779640981,28,911e7ed8,256,KvsAll,RMSprop,kl,0.13029118407889578,8,128,,True,8.097010902796418e-16,5.502810389393301e-18,0.3420635755173862,0.11518344981595874
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.0088118759859547,29,41e57961,512,KvsAll,Adam,se,0.5533006721864215,5,64,lp,False,3.0731998729284934e-19,7.491072869107242e-08,0.4172586314380169,0.31770212948322296
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.0303058223461524,30,1bd70558,256,negative_sampling,AdamW,kl,0.016961265526797633,9,256,lp,True,1.334091528984385e-10,1.9210387940148395e-12,0.1717020384967327,0.16034655831754208
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.0257163209191906,31,d346d50f,256,1vsAll,Adamax,kl,0.8398109899155711,5,256,lp,True,3.093278166473818e-20,0.00015923773927086762,0.282889224588871,0.12470609787851572
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.0475940031540248,32,570a91af,512,KvsAll,RMSprop,se,0.008219019398844967,9,32,lp,False,3.1842997132396727e-09,6.754347967448728e-19,0.03635702282190323,0.405092759989202
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0095780174852087,33,215cf5ea,256,negative_sampling,Adamax,se,0.0019163398503040797,4,64,,True,1.5945279890088385e-05,6.021237594818847e-10,0.20334994373843074,0.17035558121278882
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.0321952140816234,34,b5598a5f,128,KvsAll,RMSprop,kl,0.06251003469798942,8,512,lp,False,9.756140257290206e-15,1.6683627447572018e-14,0.4576932149939239,0.32722437242046
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.0076987158269436,35,2a4853d5,128,negative_sampling,Adadelta,se,0.021622954090113725,10,128,lp,True,1.3318203427949028e-11,1.7093577393664184e-11,0.1873607481829822,0.4850416975095868
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.011728872780024,36,f34c78c0,256,KvsAll,AdamW,kl,0.0005839150196524983,6,32,lp,False,0.0013012144603825916,1.3889183232369668e-06,0.4329073275439441,0.01738195400685072
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0490659439186877,37,c0e8e99a,512,KvsAll,AdamW,se,0.002934314504224683,7,64,lp,True,1.3117433671631314e-07,1.2262819085713306e-16,0.3264627419412136,0.2826442760415375
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.0259012437841703,38,cb669612,128,KvsAll,Adam,bce,0.26415558900643493,3,256,,False,2.1315732441022517e-17,0.018071978057201107,0.07310223206877708,0.1875604116357863
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.049403119030176,39,23c9da9d,256,KvsAll,Adam,bce,0.004858867563282263,6,32,lp,True,1.0406849681737527e-18,4.158921521059552e-15,0.14574414817616343,0.14475352503359318
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0277417604032071,40,91f8bcf1,512,negative_sampling,RMSprop,kl,0.15866015044231116,10,256,lp,False,1.0984016025818046e-10,1.568594945239149e-10,0.39225203124806285,0.3645937852561474
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0471877637155257,41,b30f7b64,512,1vsAll,AdamW,kl,0.03601722334636111,3,512,,True,3.464283473458921e-05,1.1410720602325274e-20,0.34830744564533234,0.06833269773051143
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0124719592955891,42,03e3a24a,128,KvsAll,Adamax,se,0.0003528185274389664,7,64,lp,False,5.211495960563663e-15,2.581077670800373e-06,0.09398563206195831,0.4107488370500505
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.056929810486746,43,c61eba56,128,1vsAll,Adamax,kl,0.001157868382015158,9,64,lp,True,4.619776008612101e-13,0.004322217723416456,0.2610291875898838,0.2765138950198889
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.0014089338800375,44,d04d2481,256,KvsAll,AdamW,kl,0.10412539035574017,5,256,lp,False,0.043533254077312136,3.3294708411239286e-17,0.015488807111978531,0.24440054595470428
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0618505401434921,45,23853283,512,1vsAll,Adadelta,bce,0.5044306061323526,8,512,lp,True,6.967952673901356e-08,2.4521999272558426e-08,0.24498172802850604,0.44813991291448474
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0398955907086097,46,1a02c835,256,negative_sampling,Adam,kl,0.013609220242101042,4,128,,False,4.657035946833648e-17,2.6513554269201916e-13,0.4983331779949367,0.04250869294628501
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.0107516773547123,47,3f929c10,256,1vsAll,AdamW,bce,0.35051757564405117,8,32,lp,False,1.649580561863062e-15,4.9540399294447906e-08,0.4690563133917749,0.2581124319694936
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.0083158899519941,48,bf4ca016,512,KvsAll,Adadelta,se,0.003434068550336485,4,256,lp,True,0.00015569138999832835,7.2477675952287e-13,0.22341627394780517,0.2277105818502605
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0567728450094589,49,1844f0a2,256,negative_sampling,Adam,kl,0.0007779169530477089,9,512,,False,2.462225846685872e-10,0.00045828756315834037,0.017360886558890343,0.4624553471803665
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0655523059620445,50,39404087,256,1vsAll,Adamax,kl,0.0018715870522350365,9,256,lp,False,4.398882834240557e-12,1.715200138143002e-08,0.36245772534056364,0.06538204911886995
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0655023441058066,51,fdd25356,256,1vsAll,Adamax,kl,0.0019364102927867924,9,256,lp,False,5.703168437184923e-12,7.893330050104731e-09,0.36812890226310013,0.0544364674696471
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0660374064856373,52,cfce4539,256,1vsAll,Adamax,kl,0.002175338227113689,9,256,lp,False,6.918098639078118e-13,1.153230788344433e-07,0.3603057873605159,0.025732501722644678
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.065852592294638,53,68d60876,256,1vsAll,Adamax,kl,0.0023201026513913156,9,256,lp,False,4.0272000189245305e-13,2.8069208162756783e-08,0.36468065064076666,0.04620837939172438
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0659679155126295,54,6b873adb,256,1vsAll,Adamax,kl,0.0021372399379778503,9,256,lp,False,1.5698112053804725e-12,6.154641753396845e-08,0.35518635260654935,0.031853732545246816
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0656464739785225,55,f1def979,256,1vsAll,Adamax,kl,0.0018183246252399445,9,256,lp,False,9.324135159569767e-13,1.2621203852926753e-07,0.37131477609424707,0.03578019030412098
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.0077875744151118,56,eb363301,256,1vsAll,Adadelta,kl,0.0037342675625829454,9,64,lp,True,0.0005405440041003067,7.560729947796298e-14,0.12893888168036938,0.2412487119436264
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.0607025082147869,57,9cace7d1,128,1vsAll,Adamax,kl,0.001314038026855838,9,128,lp,True,7.747528237400238e-13,0.0002072189513742791,0.30817003364615037,0.20908159011478658
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0641676505284356,58,cb93dee8,256,1vsAll,Adamax,kl,0.004741111945972268,9,256,lp,False,1.4416691623284761e-11,1.1206396407497842e-06,0.3790969837528255,0.052629282088298236
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0660770282138904,59,47167b93,256,1vsAll,Adamax,kl,0.002439178758092359,9,256,lp,False,8.129614077562787e-13,5.799547139341208e-08,0.3479436904865699,0.03267544494749165
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0436016431119436,60,d3282093,512,KvsAll,Adamax,kl,0.42493848365352715,4,512,lp,True,1.5585149760326018e-15,2.287888710066848e-05,0.33112134085968137,0.3303953749127686
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.0613738236162373,61,bec4ca8f,128,KvsAll,Adamax,bce,0.025405283349696887,5,128,lp,True,1.647424910092633e-19,3.691742227537547e-18,0.2708148565143347,0.05560188554227352
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0426153945403222,62,ddc8f9a5,128,KvsAll,AdamW,kl,0.05350072804763405,3,32,lp,False,2.0702034096197788e-16,9.466619630203991e-20,0.12319380231201649,0.13215091591700912
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.029055763662203,63,a07c20d1,512,KvsAll,Adam,se,0.00144324586706897,7,128,lp,True,2.1826603132484086e-08,2.645978634142437e-05,0.3698194641619921,0.3497954565100372
